PERSONNEL-ID;CURR-CODE(1);SALARY(1);BONUS(1,1)
50005800;EUR;       963;       138
50005600;EUR;       998;        60
50005500;EUR;      1036;        29
50005300;EUR;      1005;        32
50004900;EUR;      1008;        40
50004600;EUR;      1024;       138
50004300;EUR;       987;       138
50004200;EUR;       962;        53
50004100;EUR;      1023;       138
50004000;EUR;      1057;        53
50003800;EUR;      1036;        42
50006900;EUR;      1132;        63
50007600;EUR;      2203;       301
50003700;EUR;      1001;       138
50003500;EUR;      1054;       138
50003300;EUR;      1027;       138
50003100;EUR;      1016;       421
50003000;EUR;       938;       138
50002900;EUR;       999;       138
50002700;EUR;       975;       138
50002500;EUR;       955;        60
50002300;EUR;       957;       138
50002100;EUR;       830;       138
50001900;EUR;       890;        47
50001700;EUR;       836;       138
50008100;EUR;      1144;       301
50008400;EUR;      1165;       301
50009000;EUR;      1161;       301
50009100;EUR;       781;       138
50009300;EUR;       800;       138
50009400;EUR;       774;       373
50009500;EUR;      1180;       301
50009600;EUR;       793;       138
50009700;EUR;       783;       138
50009800;EUR;       794;       421
50009900;EUR;       815;       138
50010100;EUR;       825;       180
50001500;EUR;       870;       138
50001400;EUR;       876;       138
50001300;EUR;       896;       138
50001200;EUR;       866;        60
50000900;EUR;       849;       138
50000800;EUR;       843;       138
50000700;EUR;       866;       138
50010200;EUR;       808;       138
50010300;EUR;      1191;       301
50010500;EUR;       832;       138
50010600;EUR;      1059;       421
50011000;EUR;      1071;       138
50011600;EUR;      1101;       138
50011800;EUR;       824;       138
50011900;EUR;      1183;       301
50012100;EUR;       854;       138
50012300;EUR;       835;       138
50012600;EUR;       816;       180
50012700;EUR;      1190;       138
50012800;EUR;      1165;       301
50012900;EUR;       781;       138
50013000;EUR;      1174;       301
50013100;EUR;       757;       138
50013200;EUR;       774;       373
50013300;EUR;      1196;       301
50000300;EUR;       837;       138
50013400;EUR;       775;       138
50013700;EUR;       800;       138
50013800;EUR;      1144;       301
50013900;EUR;       783;       180
50014000;EUR;      1412;       138
50014100;EUR;      1184;       301
50014200;EUR;       755;       138
50014300;EUR;       745;       138
50014500;EUR;       778;       180
50014600;EUR;       747;       138
50014700;EUR;      1195;       301
50014800;EUR;       745;       138
50014900;EUR;      1191;       301
50015000;EUR;       747;       138
50015100;EUR;       774;       373
50015200;EUR;      1229;       301
50015300;EUR;       692;       138
50015400;EUR;       766;       138
50015500;EUR;       774;       421
50015600;EUR;       732;       138
50015800;EUR;       765;       180
50015900;EUR;       728;       138
50016000;EUR;      1059;       301
50016100;EUR;       783;       138
50016200;EUR;       783;       138
50016400;EUR;       763;       180
50016600;EUR;      1025;       301
50016700;EUR;       768;       138
50016800;EUR;      1048;       301
50016900;EUR;       743;       138
50017000;EUR;       774;       373
50017100;EUR;      1083;       301
50017200;EUR;       692;       138
50017400;EUR;       774;       421
50017500;EUR;       783;       138
50017600;EUR;      1136;       301
50017800;EUR;       743;       138
